timestamp,location_id,metric,value,unit
2026-09-14T00:00:00Z,facility_001,electricity_price,38.87,USD/MWh
2026-09-14T00:00:00Z,facility_001,carbon_intensity,0.2343,tCO2e/MWh
2026-09-14T00:00:00Z,facility_001,facility_load,16.31,MWh
2026-09-14T01:00:00Z,facility_001,electricity_price,34.76,USD/MWh
2026-09-14T01:00:00Z,facility_001,carbon_intensity,0.2389,tCO2e/MWh
2026-09-14T01:00:00Z,facility_001,facility_load,16.51,MWh
2026-09-14T02:00:00Z,facility_001,electricity_price,35.27,USD/MWh
2026-09-14T02:00:00Z,facility_001,carbon_intensity,0.2457,tCO2e/MWh
2026-09-14T02:00:00Z,facility_001,facility_load,16.61,MWh
2026-09-14T03:00:00Z,facility_001,electricity_price,37.18,USD/MWh
2026-09-14T03:00:00Z,facility_001,carbon_intensity,0.2392,tCO2e/MWh
2026-09-14T03:00:00Z,facility_001,facility_load,16.45,MWh
2026-09-14T04:00:00Z,facility_001,electricity_price,40.81,USD/MWh
2026-09-14T04:00:00Z,facility_001,carbon_intensity,0.269,tCO2e/MWh
2026-09-14T04:00:00Z,facility_001,facility_load,16.22,MWh
2026-09-14T05:00:00Z,facility_001,electricity_price,48.29,USD/MWh
2026-09-14T05:00:00Z,facility_001,carbon_intensity,0.2883,tCO2e/MWh
2026-09-14T05:00:00Z,facility_001,facility_load,16.68,MWh
2026-09-14T06:00:00Z,facility_001,electricity_price,59.32,USD/MWh
2026-09-14T06:00:00Z,facility_001,carbon_intensity,0.3642,tCO2e/MWh
2026-09-14T06:00:00Z,facility_001,facility_load,16.63,MWh
2026-09-14T07:00:00Z,facility_001,electricity_price,73.54,USD/MWh
2026-09-14T07:00:00Z,facility_001,carbon_intensity,0.4255,tCO2e/MWh
2026-09-14T07:00:00Z,facility_001,facility_load,16.5,MWh
2026-09-14T08:00:00Z,facility_001,electricity_price,80.06,USD/MWh
2026-09-14T08:00:00Z,facility_001,carbon_intensity,0.4593,tCO2e/MWh
2026-09-14T08:00:00Z,facility_001,facility_load,17.05,MWh
2026-09-14T09:00:00Z,facility_001,electricity_price,71.86,USD/MWh
2026-09-14T09:00:00Z,facility_001,carbon_intensity,0.4491,tCO2e/MWh
2026-09-14T09:00:00Z,facility_001,facility_load,17.01,MWh
2026-09-14T10:00:00Z,facility_001,electricity_price,59.63,USD/MWh
2026-09-14T10:00:00Z,facility_001,carbon_intensity,0.3758,tCO2e/MWh
2026-09-14T10:00:00Z,facility_001,facility_load,17.52,MWh
2026-09-14T11:00:00Z,facility_001,electricity_price,48.61,USD/MWh
2026-09-14T11:00:00Z,facility_001,carbon_intensity,0.2796,tCO2e/MWh
2026-09-14T11:00:00Z,facility_001,facility_load,18.09,MWh
2026-09-14T12:00:00Z,facility_001,electricity_price,40.65,USD/MWh
2026-09-14T12:00:00Z,facility_001,carbon_intensity,0.2208,tCO2e/MWh
2026-09-14T12:00:00Z,facility_001,facility_load,18.43,MWh
2026-09-14T13:00:00Z,facility_001,electricity_price,36.84,USD/MWh
2026-09-14T13:00:00Z,facility_001,carbon_intensity,0.1676,tCO2e/MWh
2026-09-14T13:00:00Z,facility_001,facility_load,18.95,MWh
2026-09-14T14:00:00Z,facility_001,electricity_price,37.37,USD/MWh
2026-09-14T14:00:00Z,facility_001,carbon_intensity,0.1837,tCO2e/MWh
2026-09-14T14:00:00Z,facility_001,facility_load,18.74,MWh
2026-09-14T15:00:00Z,facility_001,electricity_price,48.57,USD/MWh
2026-09-14T15:00:00Z,facility_001,carbon_intensity,0.2398,tCO2e/MWh
2026-09-14T15:00:00Z,facility_001,facility_load,19.32,MWh
2026-09-14T16:00:00Z,facility_001,electricity_price,62.54,USD/MWh
2026-09-14T16:00:00Z,facility_001,carbon_intensity,0.3284,tCO2e/MWh
2026-09-14T16:00:00Z,facility_001,facility_load,18.89,MWh
2026-09-14T17:00:00Z,facility_001,electricity_price,81.36,USD/MWh
2026-09-14T17:00:00Z,facility_001,carbon_intensity,0.4448,tCO2e/MWh
2026-09-14T17:00:00Z,facility_001,facility_load,18.58,MWh
2026-09-14T18:00:00Z,facility_001,electricity_price,87.76,USD/MWh
2026-09-14T18:00:00Z,facility_001,carbon_intensity,0.5155,tCO2e/MWh
2026-09-14T18:00:00Z,facility_001,facility_load,18.57,MWh
2026-09-14T19:00:00Z,facility_001,electricity_price,81.08,USD/MWh
2026-09-14T19:00:00Z,facility_001,carbon_intensity,0.5189,tCO2e/MWh
2026-09-14T19:00:00Z,facility_001,facility_load,18.24,MWh
2026-09-14T20:00:00Z,facility_001,electricity_price,61.54,USD/MWh
2026-09-14T20:00:00Z,facility_001,carbon_intensity,0.4577,tCO2e/MWh
2026-09-14T20:00:00Z,facility_001,facility_load,17.85,MWh
2026-09-14T21:00:00Z,facility_001,electricity_price,45.44,USD/MWh
2026-09-14T21:00:00Z,facility_001,carbon_intensity,0.3515,tCO2e/MWh
2026-09-14T21:00:00Z,facility_001,facility_load,17.44,MWh
2026-09-14T22:00:00Z,facility_001,electricity_price,37.43,USD/MWh
2026-09-14T22:00:00Z,facility_001,carbon_intensity,0.2865,tCO2e/MWh
2026-09-14T22:00:00Z,facility_001,facility_load,16.89,MWh
2026-09-14T23:00:00Z,facility_001,electricity_price,36.72,USD/MWh
